amfi_code,CAGR,Sharpe,Alpha,Beta,Max_Drawdown,expense_ratio_pct,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
119599,0.02053064146209893,-0.05718662582817995,0.049328065524053666,0.010072663601756614,-0.5257422117012851,0.72,3.0,9.0,5.0,35.5,40.0,13.475000000000001
120844,0.0691037983940288,-0.08874729621557288,0.0646054190026635,-0.0004375058641499331,-0.0011629327956168556,0.6,11.0,7.0,9.0,38.0,2.0,12.75
120842,0.06696806255006482,0.07599984804658923,0.080481558797897,-0.013501034947778517,-0.24003511326274884,1.56,10.0,11.0,12.0,8.0,33.0,12.65
119095,0.015204552427132478,-0.0759735711747892,0.04875277581131941,-0.020067492788233495,-0.5167775370852656,1.38,2.0,8.0,4.0,24.0,39.0,10.9
118636,0.053131554027608274,-0.35662950751436784,0.051060743722708336,-0.0019685309804787486,-0.08316361763638702,0.55,6.0,3.0,6.0,40.0,6.0,10.35
119120,0.05885271270380055,-0.22657538662791576,0.05606050670324881,-0.0003508255447426263,-0.04328728923970093,0.77,7.0,4.0,7.0,32.0,5.0,9.8
101208,0.06504429821332125,-0.8155673679088263,0.06085212112251844,0.0001258750471630138,-0.0016224980244717857,0.79,9.0,1.0,8.0,30.0,3.0,9.350000000000001
100025,0.04455091155784441,-0.5670947928476846,0.04333049544115674,-0.003422176726339639,-0.04308263824636349,0.56,5.0,2.0,3.0,39.0,4.0,8.85
119092,0.0636349475771898,0.03078485095458594,0.06701143712338226,0.016382992455286172,-0.1440161790933726,1.64,8.0,10.0,10.0,1.5,15.0,8.625
100016,0.026352458116335464,-0.20151706755966936,0.035008020122776796,0.004843355020744272,-0.24734440880673303,1.55,4.0,6.0,2.0,9.0,34.0,7.8500000000000005
102886,0.0117093879842316,-0.20583160785470309,0.03194911544827528,-0.030680122817594874,-0.2800112356639287,1.51,1.0,5.0,1.0,16.5,35.0,7.725
